Feature,Mean_IC,IC_Std,IC_IR
f73,-0.005062845540392254,0.04973324796679642,-0.10179999757450796
f164,-0.00749406070366105,0.07409410908949596,-0.10114244957294398
f381,-0.004963135752049713,0.04913314687923655,-0.10101398052334618
f350,0.010388771829786767,0.10395509179552695,0.09993518019174104
f366,-0.007171670001414227,0.07200297919288377,-0.09960239264792942
f109,0.005122135127317938,0.05199528189443212,0.09851151788353434
f89,0.00499835154837317,0.050849246804879775,0.09829743564498862
f253,-0.008106940338934717,0.08375346983532231,-0.09679526575940174
f13,-0.004607045873500834,0.0486437007556913,-0.09471000057210502
f52,-0.005729304061705927,0.06143007606856345,-0.09326544089994154
f24,-0.007701867355614618,0.0832829839065268,-0.09247827190577296
f337,-0.006694335355080472,0.07271035036763152,-0.09206852120156168
f186,-0.004626166312057356,0.05065992064040842,-0.09131805459613751
f18,-0.008312193920105244,0.09105391679442057,-0.0912886924566397
f79,0.00467143759848653,0.05128127510428661,0.09109439416322357
f160,-0.0050990177191489825,0.05665804920710398,-0.0899963357465243
f62,0.008142049536858445,0.09066005680286267,0.08980855435020872
f59,0.004623566273288392,0.051831666704715576,0.08920348650167718
f257,-0.005790935959222444,0.06641985199574343,-0.08718681107156713
f151,0.004302847896535876,0.049943302827746054,0.08615463518362011
f212,-0.006233118152636218,0.07339535135405573,-0.08492523284363918
f163,-0.006595433643437853,0.07887316867142646,-0.08362074097347358
f15,0.0071433293046473225,0.08556360028562476,0.0834855995533822
f347,0.005533534147945822,0.06682607771061064,0.08280499932763846
f138,0.0043046768480812245,0.05214810309397116,0.08254712572867547
f365,-0.0065028801266914255,0.08177189784795763,-0.07952462279322794
f53,-0.005058775097650484,0.06446176804943357,-0.07847712630221089
f341,-0.005839381732974915,0.07474508451870665,-0.07812394606730316
f342,0.005847148029766458,0.07545228265510956,0.07749463699524173
f167,-0.005865003217668591,0.07735747469875548,-0.07581688107502475
f376,-0.0038988431940216645,0.0520838013605961,-0.07485710227749051
f288,-0.004540133559177192,0.06084625872948935,-0.07461646628426373
f187,-0.003951003938040015,0.053372338357382074,-0.07402717061621557
f380,0.003565191990300066,0.048868465525606156,0.07295484362781018
